candidate,family,deployable,split,slippage_bps,start,end,total_return_pct,cagr_pct,volatility_pct,sharpe,sortino,max_drawdown_pct,calmar,profit_factor,expectancy_trade_pct,win_rate_pct,avg_gain_pct,avg_loss_pct,best_trade_pct,worst_trade_pct,entries,exits,entries_per_month,zero_entry_months,time_in_market_pct,average_gross_exposure_pct,annual_turnover_x,entry_signals,benchmark_return_pct,final_equity
rsi_cross_5,pullback,True,full,10.0,2020-01-02,2026-07-31,4.004076049774885,0.5987623907778739,3.409727823907025,0.19258236210563948,0.26863601769294065,-7.109476681516735,0.08422031854110167,1.2250289486863621,0.3693981755667958,26.923076923076923,6.696762889927162,-1.9617361928817603,27.95855829563696,-7.591859758523335,78,78,0.9873417721518988,47,37.56805807622505,12.465492425311698,3.552752856759117,92,153.31637843336728,104004.07604977489
rsi_cross_5,pullback,True,full,20.0,2020-01-02,2026-07-31,1.596660849889875,0.2411569945766301,3.406978858887381,0.08791592745357042,0.12181274142818249,-8.308394826517606,0.029025702270062795,1.0824269543369651,0.16885951679710293,25.64102564102564,6.815807333224439,-2.123191454384737,27.702896329687682,-7.776491776252575,78,78,0.9873417721518988,47,37.56805807622505,12.460875419172313,3.55419231784052,92,153.31637843336728,101596.66084988989
rsi_zone_40_55,pullback,True,train,5.0,2020-01-02,2022-12-30,9.302623968399937,3.017023112519812,7.283934755031117,0.4435636867044324,0.5878430227999016,-9.389105675670573,0.3213323203228656,1.4924250344893562,0.8100470315980428,30.864197530864196,7.194575069350284,-2.0401886995413507,30.789885076446144,-5.164956680769257,85,81,2.361111111111111,11,76.19047619047619,34.81736035663546,8.38362660386747,236,23.99457443201087,109302.62396839993
rsi_zone_40_55,pullback,True,validation,5.0,2023-01-03,2024-06-28,4.450423193922348,2.977701068349692,6.6836846313633265,0.47232214906880693,0.6801976442095508,-7.640033606657559,0.38974973431463833,1.1501266568651562,0.29155230073003496,21.428571428571427,8.371685621605389,-1.9121204231450617,23.732720046264724,-4.815316393208905,60,56,3.3333333333333335,5,82.62032085561498,41.63131803027777,11.665170862737595,124,44.651846208266456,104450.42319392235
rsi_zone_40_55,pullback,True,test,5.0,2024-07-01,2026-07-31,-1.3191143112622705,-0.6361293354774089,6.838900658804568,-0.05940390815486542,-0.08077578368237573,-7.585566541142752,-0.08386049110862814,0.884082189572035,-0.1322305415478606,32.87671232876712,3.815298236336716,-2.065714024593367,19.91067732333485,-6.3053914750618185,74,73,2.96,3,83.74760994263862,40.44054036467726,10.55513513097395,247,40.15835193906074,98680.88568873773
rsi_zone_40_55,pullback,True,full,5.0,2020-01-02,2026-07-31,10.997271807328278,1.599151972156454,7.083996434855087,0.260001750718138,0.3514526104234509,-11.211391317412422,0.14263635323055843,1.2004038081294583,0.36342583163209374,29.906542056074763,6.050524839637172,-2.06306974511674,30.789885076446144,-7.4994053448477915,215,214,2.721518987341772,19,79.97580157289777,38.53303021111705,9.8048472205189,602,153.31637843336728,110997.27180732829
rsi_zone_40_55,pullback,True,full,10.0,2020-01-02,2026-07-31,7.476986239244998,1.1024683194322593,7.084832146920002,0.19062727983983202,0.25686072434265306,-11.900629496163118,0.0926394960693219,1.1295046894676521,0.26311251230346616,28.971962616822427,6.138307932282661,-2.1333487774248896,30.659160488301463,-7.591859758523328,215,214,2.721518987341772,19,79.97580157289777,38.528507819654564,9.79262776964863,602,153.31637843336728,107476.986239245
rsi_zone_40_55,pullback,True,full,20.0,2020-01-02,2026-07-31,0.7731466280638033,0.11717933100205968,7.089007335354966,0.05205202350630269,0.06970013541724343,-14.166573352797386,0.008271536671845985,1.0056523931635868,0.06278621292562767,26.635514018691588,6.453759638230241,-2.257503501993882,30.398102702994585,-7.776491776252582,215,214,2.721518987341772,19,79.97580157289777,38.51947818628534,9.76819029479947,602,153.31637843336728,100773.14662806381
pullback_below_ema20,pullback,True,train,5.0,2020-01-02,2022-12-30,14.719519355606048,4.695668207216674,8.81332522544139,0.5634997567997706,0.7750838817541531,-12.36021953202513,0.3799016833843666,1.4915046115524435,0.9913928201489718,41.17647058823529,6.507387622443283,-2.869803541457047,42.81046438735647,-11.418674899003696,106,102,2.9444444444444446,13,78.57142857142857,41.58854950661358,10.388898309674524,446,23.99457443201087,114719.51935560605
pullback_below_ema20,pullback,True,validation,5.0,2023-01-03,2024-06-28,12.065980496339712,7.979014426510367,7.920561604889937,1.00872694081244,1.511133046166606,-5.885855596287359,1.3556252435998117,1.935707079539702,1.0448209624695985,46.666666666666664,4.485976619256933,-1.9661902372193196,23.900030776512445,-8.244216394239729,64,60,3.5555555555555554,6,98.93048128342245,53.95047859995516,12.433585276364575,254,44.651846208266456,112065.9804963397
